update_date,tests_pos,deaths,total_tests,tests_neg,new_tests
09-11-2020,257788,8273,4632382,4374594,56661
09-10-2020,255643,8242,4575721,4320078,48982
09-09-2020,253690,8214,4526739,4273049,48029
09-08-2020,252353,8186,4478710,4226357,31363
09-07-2020,250961,8179,4447347,4196386,28975
09-06-2020,249580,8171,4418372,4168792,46496
09-05-2020,248177,8166,4371876,4123699,61935
09-04-2020,245371,8143,4309941,4064570,149273
09-03-2020,240003,8115,4160668,3920665,40795
09-02-2020,238643,8091,4119873,3881230,32751
09-01-2020,236515,8064,4087122,3850607,22961
08-31-2020,235023,8026,4064161,3829138,47379
08-30-2020,233355,8019,4016782,3783427,43693
08-29-2020,231363,8008,3973089,3741726,48784
08-28-2020,229483,7997,3924305,3694822,48383
08-27-2020,227334,7977,3875922,3648588,44510
08-26-2020,225627,7954,3831412,3605785,50362
08-25-2020,223470,7917,3781050,3557580,40859
08-24-2020,221790,7888,3740191,3518401,36155
08-23-2020,220178,7880,3704036,3483858,54351
08-22-2020,218285,7874,3649685,3431400,56766
08-21-2020,215929,7857,3592919,3376990,51736
08-20-2020,213721,7833,3541183,3327462,51612
08-19-2020,211889,7806,3489571,3277682,50299
08-18-2020,209594,7782,3439272,3229678,34175
08-17-2020,207854,7756,3405097,3197243,38246
08-16-2020,206081,7744,3366851,3160770,37089
08-15-2020,204519,7726,3329762,3125243,44414
08-14-2020,202691,7721,3285348,3082657,49541
08-13-2020,200427,7696,3235807,3035380,46006
08-12-2020,198593,7672,3189801,2991208,42098
08-11-2020,196948,7657,3147703,2950755,41362
08-10-2020,195399,7637,3106341,2910942,32353
08-09-2020,194080,7636,3073988,2879908,41354
08-08-2020,192698,7631,3032634,2839936,48016
08-07-2020,190508,7613,2984618,2794110,46869
08-06-2020,188424,7594,2937749,2749325,41686
08-05-2020,186471,7573,2896063,2709592,46668
08-04-2020,184712,7545,2849395,2664683,42598
08-03-2020,183241,7526,2806797,2623556,28475
08-02-2020,181943,7517,2778322,2596379,38945
08-01-2020,180476,7503,2739377,2558901,39809
07-31-2020,178837,7495,2699568,2520731,49782
07-30-2020,176896,7478,2649786,2472890,41134
07-29-2020,175124,7462,2608652,2433528,38187
07-28-2020,173731,7446,2570465,2396734,28331
07-27-2020,172655,7416,2542134,2369479,30567
07-26-2020,171424,7398,2511567,2340143,40844
07-25-2020,169883,7397,2470723,2300840,38200
07-24-2020,168457,7385,2432523,2264066,44330
07-23-2020,166925,7367,2388193,2221268,39706
07-22-2020,165301,7347,2348487,2183186,39633
07-21-2020,163703,7324,2308854,2145151,29745
07-20-2020,162748,7301,2279109,2116361,34598
07-19-2020,161575,7295,2244511,2082936,32113
07-18-2020,160610,7290,2212398,2051788,46099
07-17-2020,159334,7272,2166299,2006965,43692
07-16-2020,157950,7251,2122607,1964657,43006
07-15-2020,156693,7226,2079601,1922908,38161
07-14-2020,155506,7218,2041440,1885934,28446
07-13-2020,154799,7193,2012994,1858195,30012
07-12-2020,153916,7187,1982982,1829066,38894
07-11-2020,152962,7168,1944088,1791126,32345
07-10-2020,151767,7144,1911743,1759976,32987
07-09-2020,150450,7119,1878756,1728306,36180
07-08-2020,149432,7099,1842576,1693144,32742
07-07-2020,148452,7063,1809834,1661382,26994
07-06-2020,147865,7026,1782840,1634975,21134
07-05-2020,147251,7020,1761706,1614455,27235
07-04-2020,146612,7014,1734471,1587859,33836
07-03-2020,145750,7005,1700635,1554885,34318
07-02-2020,144882,6987,1666317,1521435,30262
07-01-2020,144013,6951,1636055,1492042,33090
06-30-2020,143185,6923,1602965,1459780,31069
06-29-2020,142461,6902,1571896,1429435,26918
06-28-2020,141723,6888,1544978,1403255,23789
06-27-2020,141077,6873,1521189,1380112,30237
