update_date,update_time,County,Positive_Cases,Deaths,Tested,NOFO_Region,Metro_Area
11-02-2020,12:45,Tazewell,"3,102",59,"79,173",North Central,Peoria
11-02-2020,12:45,Unassigned,40,0,"64,657",Unassigned,
11-02-2020,12:45,Union,827,25,"9,381",Southern,
11-02-2020,12:45,Vermilion,"2,007",12,"39,158",Northeast Central,Danville
11-02-2020,12:45,Wabash,264,6,"3,176",Southern,
11-02-2020,12:45,Warren,580,9,"6,095",West Central,
11-02-2020,12:45,Washington,358,2,"4,414",Southwest Central,
11-02-2020,12:45,Wayne,546,18,"5,933",Southern,
11-02-2020,12:45,White,302,5,"7,871",Southern,
11-02-2020,12:45,Whiteside,"1,855",31,"23,068",Northwest,
11-02-2020,12:45,Will,"21,043",446,"297,783",Collar,Chicago
11-02-2020,12:45,Williamson,"2,085",61,"33,870",Southern,Carbondale-Marion
11-02-2020,12:45,Winnebago,"11,800",187,"145,696",Northern,Rockford
11-02-2020,12:45,Woodford,798,17,"18,776",North Central,Peoria
11-01-2020,12:45,Illinois,"417,280","9,792","7,808,303",Illinois,Illinois
11-01-2020,12:45,Adams,"2,223",25,"41,172",West Central,
11-01-2020,12:45,Alexander,154,2,"2,514",Southern,Cape_Girardeau
11-01-2020,12:45,Bond,544,9,"8,156",Southwest Central,St_Louis
11-01-2020,12:45,Boone,"2,171",26,"23,522",Northern,Rockford
11-01-2020,12:45,Brown,127,0,"2,359",West Central,
11-01-2020,12:45,Bureau,"1,022",19,"13,776",Northwest,
11-01-2020,12:45,Calhoun,84,0,"1,772",Southwest Central,St_Louis
11-01-2020,12:45,Carroll,506,14,"7,568",Northwest,
11-01-2020,12:45,Cass,476,11,"5,953",Central,
11-01-2020,12:45,Champaign,"6,824",28,"817,760",Northeast Central,Champaign-Urbana
11-01-2020,12:45,Chicago,"104,526","3,078","1,562,174",Chicago,Chicago
11-01-2020,12:45,Christian,912,31,"15,022",Central,
11-01-2020,12:45,Clark,334,18,"5,745",Southeast Central,
11-01-2020,12:45,Clay,350,14,"4,760",Southeast Central,
11-01-2020,12:45,Clinton,"1,919",31,"18,888",Southwest Central,St_Louis
11-01-2020,12:45,Coles,"2,178",40,"28,730",Southeast Central,
11-01-2020,12:45,Cook,"88,576","2,422","1,363,185",Suburban,Chicago
11-01-2020,12:45,Crawford,684,6,"6,244",Southeast Central,
11-01-2020,12:45,Cumberland,323,6,"4,783",Southeast Central,
11-01-2020,12:45,De Witt,303,6,"6,483",North Central,Bloomington
11-01-2020,12:45,DeKalb,"2,779",43,"48,552",Northern,Elgin
11-01-2020,12:45,Douglas,825,9,"12,020",Northeast Central,
11-01-2020,12:45,DuPage,"25,681",622,"447,992",Collar,Chicago
11-01-2020,12:45,Edgar,175,11,"5,115",Southeast Central,
11-01-2020,12:45,Edwards,116,0,"1,193",Southern,
11-01-2020,12:45,Effingham,"1,330",4,"15,567",Southeast Central,
11-01-2020,12:45,Fayette,735,24,"8,541",Southeast Central,
11-01-2020,12:45,Ford,222,16,"7,893",Northeast Central,Champaign-Urbana
11-01-2020,12:45,Franklin,"1,110",10,"17,255",Southern,
11-01-2020,12:45,Fulton,657,2,"16,820",North Central,
11-01-2020,12:45,Gallatin,117,2,"1,165",Southern,
11-01-2020,12:45,Greene,342,17,"5,185",Central,
11-01-2020,12:45,Grundy,"1,125",7,"15,374",Collar,Chicago
11-01-2020,12:45,Hamilton,148,2,"2,197",Southern,
11-01-2020,12:45,Hancock,369,4,"7,286",West Central,
11-01-2020,12:45,Hardin,59,0,"1,442",Southern,
11-01-2020,12:45,Henderson,137,0,"2,135",West Central,
11-01-2020,12:45,Henry,888,9,"22,399",Northwest,Davenport
11-01-2020,12:45,Iroquois,572,19,"14,908",Northeast Central,
11-01-2020,12:45,Jackson,"1,660",26,"24,297",Southern,Carbondale-Marion
11-01-2020,12:45,Jasper,294,10,"3,660",Southeast Central,
11-01-2020,12:45,Jefferson,"1,017",52,"13,967",Southern,
11-01-2020,12:45,Jersey,495,21,"8,640",Southwest Central,St_Louis
11-01-2020,12:45,Jo Daviess,584,9,"8,100",Northwest,
11-01-2020,12:45,Johnson,408,0,"4,316",Southern,
11-01-2020,12:45,Kane,"18,650",356,"239,307",Collar,Elgin
11-01-2020,12:45,Kankakee,"3,867",81,"70,684",Collar,Kankakee
11-01-2020,12:45,Kendall,"3,083",30,"46,869",Collar,Chicago
11-01-2020,12:45,Knox,"1,467",21,"25,569",West Central,
11-01-2020,12:45,Lake,"22,618",522,"343,234",Collar,Lake
11-01-2020,12:45,LaSalle,"2,776",69,"42,186",Northwest,
11-01-2020,12:45,Lawrence,379,8,"7,105",Southeast Central,
11-01-2020,12:45,Lee,926,2,"11,923",Northwest,
11-01-2020,12:45,Livingston,769,12,"19,222",North Central,
11-01-2020,12:45,Logan,666,4,"19,438",Central,
11-01-2020,12:45,Macon,"3,685",59,"57,305",Central,Decatur
11-01-2020,12:45,Macoupin,877,11,"23,402",Central,St_Louis
11-01-2020,12:45,Madison,"7,751",160,"104,045",Southwest Central,St_Louis
11-01-2020,12:45,Marion,"1,207",25,"20,360",Southeast Central,
11-01-2020,12:45,Marshall,174,3,"6,077",North Central,Peoria
11-01-2020,12:45,Mason,361,7,"6,600",North Central,
11-01-2020,12:45,Massac,172,2,"3,540",Southern,
11-01-2020,12:45,McDonough,828,22,"13,910",West Central,
11-01-2020,12:45,McHenry,"7,265",121,"108,299",Collar,Chicago
11-01-2020,12:45,McLean,"4,500",38,"105,081",North Central,Bloomington
11-01-2020,12:45,Menard,193,1,"6,299",Central,Springfield
11-01-2020,12:45,Mercer,339,6,"6,863",Northwest,Davenport
11-01-2020,12:45,Monroe,"1,068",32,"11,985",Southwest Central,St_Louis
11-01-2020,12:45,Montgomery,687,17,"18,451",Central,
11-01-2020,12:45,Morgan,"1,064",26,"17,106",Central,
11-01-2020,12:45,Moultrie,496,6,"7,623",Southeast Central,
11-01-2020,12:45,Ogle,"1,428",8,"21,255",Northern,
11-01-2020,12:45,Peoria,"5,083",79,"115,604",North Central,Peoria
11-01-2020,12:45,Perry,507,16,"8,058",Southern,
11-01-2020,12:45,Piatt,290,2,"11,576",Northeast Central,Champaign-Urbana
11-01-2020,12:45,Pike,441,8,"5,986",West Central,
11-01-2020,12:45,Pope,45,1,857,Southern,
11-01-2020,12:45,Pulaski,247,1,"2,171",Southern,
11-01-2020,12:45,Putnam,107,0,"1,699",Northwest,
11-01-2020,12:45,Randolph,"1,403",15,"16,684",Southern,
11-01-2020,12:45,Richland,355,18,"8,306",Southeast Central,
11-01-2020,12:45,Rock Island,"4,522",95,"77,537",Northwest,Davenport
11-01-2020,12:45,Saline,653,11,"8,850",Southern,
11-01-2020,12:45,Sangamon,"4,638",66,"140,595",Central,Springfield
11-01-2020,12:45,Schuyler,101,1,"2,380",West Central,
11-01-2020,12:45,Scott,116,0,"2,936",Central,
11-01-2020,12:45,Shelby,770,12,"9,152",Central,
11-01-2020,12:45,St. Clair,"8,405",224,"111,523",Southwest Central,St_Louis
11-01-2020,12:45,Stark,102,3,"2,963",North Central,Peoria
11-01-2020,12:45,Stephenson,"1,242",9,"18,451",Northern,
11-01-2020,12:45,Tazewell,"3,034",59,"78,537",North Central,Peoria
11-01-2020,12:45,Unassigned,61,0,"64,496",Unassigned,
11-01-2020,12:45,Union,821,25,"9,311",Southern,
11-01-2020,12:45,Vermilion,"1,974",12,"38,856",Northeast Central,Danville
11-01-2020,12:45,Wabash,264,6,"3,170",Southern,
11-01-2020,12:45,Warren,570,9,"6,010",West Central,
11-01-2020,12:45,Washington,353,2,"4,356",Southwest Central,
11-01-2020,12:45,Wayne,546,18,"5,916",Southern,
11-01-2020,12:45,White,299,5,"7,833",Southern,
11-01-2020,12:45,Whiteside,"1,804",31,"22,819",Northwest,
11-01-2020,12:45,Will,"20,657",445,"294,900",Collar,Chicago
11-01-2020,12:45,Williamson,"2,062",61,"33,601",Southern,Carbondale-Marion
11-01-2020,12:45,Winnebago,"11,638",187,"144,585",Northern,Rockford
11-01-2020,12:45,Woodford,781,17,"18,580",North Central,Peoria
10-31-2020,10:45,Illinois,"410,300","9,757","7,729,845",Illinois,Illinois
10-31-2020,10:45,Adams,"2,218",25,"40,901",West Central,
10-31-2020,10:45,Alexander,153,1,"2,502",Southern,Cape_Girardeau
10-31-2020,10:45,Bond,539,9,"8,111",Southwest Central,St_Louis
10-31-2020,10:45,Boone,"2,130",26,"23,167",Northern,Rockford
10-31-2020,10:45,Brown,125,0,"2,326",West Central,
10-31-2020,10:45,Bureau,"1,003",18,"13,681",Northwest,
10-31-2020,10:45,Calhoun,84,0,"1,766",Southwest Central,St_Louis
10-31-2020,10:45,Carroll,503,14,"7,520",Northwest,
10-31-2020,10:45,Cass,476,11,"5,926",Central,
10-31-2020,10:45,Champaign,"6,705",28,"812,580",Northeast Central,Champaign-Urbana
10-31-2020,10:45,Chicago,"102,638","3,074","1,542,638",Chicago,Chicago
10-31-2020,10:45,Christian,899,31,"14,904",Central,
10-31-2020,10:45,Clark,334,18,"5,723",Southeast Central,
10-31-2020,10:45,Clay,341,14,"4,731",Southeast Central,
10-31-2020,10:45,Clinton,"1,899",31,"18,717",Southwest Central,St_Louis
10-31-2020,10:45,Coles,"2,155",40,"28,544",Southeast Central,
10-31-2020,10:45,Cook,"87,022","2,411","1,347,386",Suburban,Chicago
10-31-2020,10:45,Crawford,680,6,"6,214",Southeast Central,
10-31-2020,10:45,Cumberland,318,6,"4,763",Southeast Central,
10-31-2020,10:45,De Witt,295,6,"6,379",North Central,Bloomington
10-31-2020,10:45,DeKalb,"2,701",43,"48,029",Northern,Elgin
10-31-2020,10:45,Douglas,816,9,"11,908",Northeast Central,
10-31-2020,10:45,DuPage,"25,201",620,"443,496",Collar,Chicago
10-31-2020,10:45,Edgar,173,11,"4,967",Southeast Central,
10-31-2020,10:45,Edwards,115,0,"1,181",Southern,
10-31-2020,10:45,Effingham,"1,316",4,"15,533",Southeast Central,
10-31-2020,10:45,Fayette,731,24,"8,520",Southeast Central,
10-31-2020,10:45,Ford,220,16,"7,788",Northeast Central,Champaign-Urbana
10-31-2020,10:45,Franklin,"1,093",10,"16,987",Southern,
10-31-2020,10:45,Fulton,641,2,"16,623",North Central,
10-31-2020,10:45,Gallatin,115,2,"1,163",Southern,
10-31-2020,10:45,Greene,336,17,"5,155",Central,
10-31-2020,10:45,Grundy,"1,104",7,"15,166",Collar,Chicago
10-31-2020,10:45,Hamilton,148,2,"2,183",Southern,
10-31-2020,10:45,Hancock,359,4,"7,271",West Central,
10-31-2020,10:45,Hardin,59,0,"1,437",Southern,
