date,region,id,ICUAvail,ICUCapacity,VentsAvailable,VentsCapacity
2020-12-03,Region 2,2,37,255,363,474
2020-12-03,Region 3,3,20,170,296,421
2020-12-03,Region 4,4,20,113,117,166
2020-12-03,Region 5,5,17,92,226,260
2020-12-03,Region 6,6,39,160,268,322
2020-12-03,Region 7,7,36,162,76,137
2020-12-03,Region 8,8,75,344,348,578
2020-12-03,Region 9,9,47,188,227,291
2020-12-04,Region 1,1,37,179,218,359
2020-12-04,Region 10,10,115,719,559,928
2020-12-04,Region 11,11,171,937,1209,1764
2020-12-04,Region 2,2,30,255,366,474
2020-12-04,Region 3,3,18,175,294,421
2020-12-04,Region 4,4,21,113,113,166
2020-12-04,Region 5,5,18,88,229,260
2020-12-04,Region 6,6,35,160,266,322
2020-12-04,Region 7,7,46,162,83,137
2020-12-04,Region 8,8,72,344,344,578
2020-12-04,Region 9,9,45,188,231,291
2020-12-05,Region 1,1,36,179,236,359
2020-12-05,Region 10,10,132,719,580,928
2020-12-05,Region 11,11,199,937,1228,1764
2020-12-05,Region 2,2,40,255,385,474
2020-12-05,Region 3,3,24,171,290,421
2020-12-05,Region 4,4,22,113,117,166
2020-12-05,Region 5,5,19,88,229,260
2020-12-05,Region 6,6,46,160,266,322
2020-12-05,Region 7,7,39,162,83,137
2020-12-05,Region 8,8,71,344,350,578
2020-12-05,Region 9,9,50,188,232,291
2020-12-06,Region 1,1,43,179,224,359
2020-12-06,Region 10,10,115,719,579,928
2020-12-06,Region 11,11,214,939,1169,1764
2020-12-06,Region 2,2,46,255,388,474
2020-12-06,Region 3,3,29,164,292,417
2020-12-06,Region 4,4,25,113,120,166
2020-12-06,Region 5,5,18,88,228,260
2020-12-06,Region 6,6,44,160,271,322
2020-12-06,Region 7,7,44,162,83,136
2020-12-06,Region 8,8,67,344,344,578
2020-12-06,Region 9,9,56,188,231,291
2020-12-07,Region 1,1,43,179,237,359
2020-12-07,Region 10,10,127,719,561,928
2020-12-07,Region 11,11,184,935,1237,1772
2020-12-07,Region 2,2,40,255,386,474
2020-12-07,Region 3,3,24,166,306,417
2020-12-07,Region 4,4,20,113,117,166
2020-12-07,Region 5,5,16,89,228,260
2020-12-07,Region 6,6,48,160,270,322
2020-12-07,Region 7,7,35,162,77,136
2020-12-07,Region 8,8,54,344,335,574
2020-12-07,Region 9,9,56,188,233,291
2020-12-08,Region 1,1,33,179,215,359
2020-12-08,Region 10,10,111,719,559,928
2020-12-08,Region 11,11,178,946,1228,1772
2020-12-08,Region 2,2,35,255,380,474
2020-12-08,Region 3,3,20,175,311,417
2020-12-08,Region 4,4,18,113,114,166
2020-12-08,Region 5,5,14,91,229,260
2020-12-08,Region 6,6,44,160,272,323
2020-12-08,Region 7,7,35,162,82,138
2020-12-08,Region 8,8,61,344,339,574
2020-12-08,Region 9,9,47,188,225,291
2020-12-09,Region 1,1,38,179,228,359
2020-12-09,Region 10,10,126,733,590,928
2020-12-09,Region 11,11,185,937,1228,1777
2020-12-09,Region 2,2,37,255,384,474
2020-12-09,Region 3,3,18,169,312,417
2020-12-09,Region 4,4,18,112,118,166
2020-12-09,Region 5,5,17,91,231,261
2020-12-09,Region 6,6,46,160,273,323
2020-12-09,Region 7,7,33,162,79,138
2020-12-09,Region 8,8,52,344,335,579
2020-12-09,Region 9,9,45,188,235,289
2020-12-10,Region 1,1,33,179,230,359
2020-12-10,Region 10,10,119,733,601,928
2020-12-10,Region 11,11,195,938,1199,1769
2020-12-10,Region 2,2,35,235,364,474
2020-12-10,Region 3,3,27,167,301,417
2020-12-10,Region 4,4,13,113,119,165
2020-12-10,Region 5,5,13,89,228,261
2020-12-10,Region 6,6,47,160,271,323
2020-12-10,Region 7,7,33,162,83,138
2020-12-10,Region 8,8,45,344,328,573
2020-12-10,Region 9,9,57,188,235,289
2020-12-11,Region 1,1,33,179,218,359
2020-12-11,Region 10,10,121,733,582,928
2020-12-11,Region 11,11,185,938,1237,1778
2020-12-11,Region 2,2,34,235,358,474
2020-12-11,Region 3,3,17,166,313,417
2020-12-11,Region 4,4,18,113,123,166
2020-12-11,Region 5,5,12,90,229,261
2020-12-11,Region 6,6,43,160,268,323
2020-12-11,Region 7,7,27,146,84,136
2020-12-11,Region 8,8,72,330,349,573
2020-12-11,Region 9,9,58,188,236,289
2020-12-12,Region 1,1,34,179,228,359
2020-12-12,Region 10,10,152,733,599,928
2020-12-12,Region 11,11,167,937,1270,1778
2020-12-12,Region 2,2,38,235,367,474
2020-12-12,Region 3,3,33,165,324,421
2020-12-12,Region 4,4,27,114,116,164
2020-12-12,Region 5,5,13,89,229,261
2020-12-12,Region 6,6,44,160,266,323
2020-12-12,Region 7,7,30,162,80,136
2020-12-12,Region 8,8,78,348,341,573
2020-12-12,Region 9,9,57,188,236,289
2020-12-13,Region 1,1,44,179,247,359
2020-12-13,Region 10,10,145,733,605,928
2020-12-13,Region 11,11,214,939,1269,1778
2020-12-13,Region 2,2,50,235,370,474
2020-12-13,Region 3,3,38,161,332,421
2020-12-13,Region 4,4,30,114,121,165
2020-12-13,Region 5,5,15,91,235,261
2020-12-13,Region 6,6,51,160,267,323
2020-12-13,Region 7,7,31,162,72,136
2020-12-13,Region 8,8,100,344,345,573
2020-12-13,Region 9,9,48,188,229,289
2020-12-14,Region 1,1,46,179,244,342
2020-12-14,Region 10,10,120,733,595,928
2020-12-14,Region 11,11,208,916,1259,1767
2020-12-14,Region 2,2,48,235,368,474
2020-12-14,Region 3,3,23,161,324,421
2020-12-14,Region 4,4,23,113,124,165
2020-12-14,Region 5,5,13,85,245,263
2020-12-14,Region 6,6,50,160,268,323
2020-12-14,Region 7,7,28,162,78,139
2020-12-14,Region 8,8,96,324,356,573
2020-12-14,Region 9,9,48,194,226,289
