date,category,perc,count,baseline
2020-10-24,CCDD CLI CC with CLI DD and Coronavirus DD v1,5.68707,603,10603
2020-10-24,SUBSYNDROME ShortnessOfBreath,6.158634,653,10603
2020-10-23,CCDD CDC Pneumonia CCDD v1,3.534699,409,11571
2020-10-23,CCDD CLI CC with CLI DD and Coronavirus DD v1,6.282949,727,11571
2020-10-23,SUBSYNDROME ShortnessOfBreath,7.008902,811,11571
2020-10-22,CCDD CDC Pneumonia CCDD v1,3.410585,415,12168
2020-10-22,CCDD CLI CC with CLI DD and Coronavirus DD v1,5.752794,700,12168
2020-10-22,SUBSYNDROME ShortnessOfBreath,6.804734,828,12168
2020-10-21,CCDD CDC Pneumonia CCDD v1,3.359323,405,12056
2020-10-21,CCDD CLI CC with CLI DD and Coronavirus DD v1,5.656934,682,12056
2020-10-21,SUBSYNDROME ShortnessOfBreath,7.017253,846,12056
2020-10-20,CCDD CDC Pneumonia CCDD v1,3.59545,433,12043
2020-10-20,CCDD CLI CC with CLI DD and Coronavirus DD v1,5.28938,637,12043
2020-10-20,SUBSYNDROME ShortnessOfBreath,7.033131,847,12043
2020-10-19,CCDD CDC Pneumonia CCDD v1,3.418392,426,12462
2020-10-19,CCDD CLI CC with CLI DD and Coronavirus DD v1,4.999198,623,12462
2020-10-19,SUBSYNDROME ShortnessOfBreath,7.382443,920,12462
2020-10-18,CCDD CDC Pneumonia CCDD v1,3.469178,372,10723
2020-10-18,CCDD CLI CC with CLI DD and Coronavirus DD v1,4.905344,526,10723
2020-10-18,SUBSYNDROME ShortnessOfBreath,6.742516,723,10723
2020-10-17,CCDD CDC Pneumonia CCDD v1,3.129314,340,10865
2020-10-17,CCDD CLI CC with CLI DD and Coronavirus DD v1,4.482283,487,10865
2020-10-17,SUBSYNDROME ShortnessOfBreath,6.148182,668,10865
2020-10-16,CCDD CDC Pneumonia CCDD v1,3.302338,380,11507
2020-10-16,CCDD CLI CC with CLI DD and Coronavirus DD v1,4.814461,554,11507
2020-10-16,SUBSYNDROME ShortnessOfBreath,6.908838,795,11507
2020-10-15,CCDD CDC Pneumonia CCDD v1,2.898185,345,11904
2020-10-15,CCDD CLI CC with CLI DD and Coronavirus DD v1,4.259073,507,11904
2020-10-15,SUBSYNDROME ShortnessOfBreath,7.568884,901,11904
2020-10-14,CCDD CDC Pneumonia CCDD v1,2.703562,340,12576
2020-10-14,CCDD CLI CC with CLI DD and Coronavirus DD v1,4.381361,551,12576
2020-10-14,SUBSYNDROME ShortnessOfBreath,6.544211,823,12576
2020-10-13,CCDD CDC Pneumonia CCDD v1,2.73246,340,12443
