date,agegroup,race,gender,cases,tested,deaths
2020-12-03,20-29,NH/PI*,NA,134,3068,0
2020-12-03,20-29,Other,NA,5182,83735,1
2020-12-03,20-29,White,NA,44754,697716,1
2020-12-03,20-29,NA,NA,143841,2121189,41
2020-12-03,30-39,AI/AN**,NA,150,1325,0
2020-12-03,30-39,Asian,NA,2592,49767,6
2020-12-03,30-39,Black,NA,12028,123132,58
2020-12-03,30-39,Hispanic,NA,26832,131423,86
2020-12-03,30-39,Left Blank,NA,40351,710061,2
2020-12-03,30-39,NH/PI*,NA,142,1838,0
2020-12-03,30-39,Other,NA,4648,54730,0
2020-12-03,30-39,White,NA,35568,463362,15
2020-12-03,30-39,NA,NA,122311,1535638,167
2020-12-03,40-49,AI/AN**,NA,139,1191,1
2020-12-03,40-49,Asian,NA,2439,33078,13
2020-12-03,40-49,Black,NA,11272,115400,109
2020-12-03,40-49,Hispanic,NA,27504,115539,195
2020-12-03,40-49,Left Blank,NA,37963,615260,3
2020-12-03,40-49,NH/PI*,NA,134,1425,1
2020-12-03,40-49,Other,NA,4301,43310,0
2020-12-03,40-49,White,NA,34126,390803,60
2020-12-03,40-49,NA,NA,117878,1316006,382
2020-12-03,50-59,AI/AN**,NA,133,1183,2
2020-12-03,50-59,Asian,NA,2164,27966,29
2020-12-03,50-59,Black,NA,10801,122996,258
2020-12-03,50-59,Hispanic,NA,19574,87084,358
2020-12-03,50-59,Left Blank,NA,36624,643436,14
2020-12-03,50-59,NH/PI*,NA,115,1472,2
2020-12-03,50-59,Other,NA,3857,39426,6
2020-12-03,50-59,White,NA,39906,469669,252
2020-12-03,50-59,NA,NA,113174,1393232,921
2020-12-03,60-69,AI/AN**,NA,89,857,4
2020-12-03,60-69,Asian,NA,1661,18390,74
2020-12-03,60-69,Black,NA,8235,103768,604
2020-12-03,60-69,Hispanic,NA,9813,49007,531
2020-12-03,60-69,Left Blank,NA,24663,530776,33
2020-12-03,60-69,NH/PI*,NA,90,912,4
2020-12-03,60-69,Other,NA,2471,29384,16
2020-12-03,60-69,White,NA,32323,430569,783
2020-12-03,60-69,NA,NA,79345,1163663,2049
2020-12-03,70-79,AI/AN**,NA,51,468,3
2020-12-03,70-79,Asian,NA,877,9477,121
2020-12-03,70-79,Black,NA,4632,53200,710
2020-12-03,70-79,Hispanic,NA,3899,20131,495
2020-12-03,70-79,Left Blank,NA,11811,307184,77
2020-12-03,70-79,NH/PI*,NA,33,353,3
2020-12-03,70-79,Other,NA,1105,16472,25
2020-12-03,70-79,White,NA,19806,289946,1708
2020-12-03,70-79,NA,NA,42214,697231,3142
2020-12-03,80+,AI/AN**,NA,33,250,7
2020-12-03,80+,Asian,NA,603,5754,218
2020-12-03,80+,Black,NA,2980,29528,882
2020-12-03,80+,Hispanic,NA,1896,10134,512
2020-12-03,80+,Left Blank,NA,8951,338927,241
2020-12-03,80+,NH/PI*,NA,18,159,3
2020-12-03,80+,Other,NA,558,8530,30
2020-12-03,80+,White,NA,17321,257051,4227
2020-12-03,80+,NA,NA,32360,650333,6120
2020-12-03,Unknown,AI/AN**,NA,0,1,0
2020-12-03,Unknown,Asian,NA,0,52,0
2020-12-03,Unknown,Black,NA,5,177,0
2020-12-03,Unknown,Hispanic,NA,11,265,0
2020-12-03,Unknown,Left Blank,NA,182,601520,0
2020-12-03,Unknown,NH/PI*,NA,0,0,0
2020-12-03,Unknown,Other,NA,2,45,0
2020-12-03,Unknown,White,NA,35,558,0
2020-12-03,Unknown,NA,NA,235,602618,0
2020-12-03,NA,AI/AN**,NA,884,8414,17
2020-12-03,NA,Asian,NA,14901,401576,463
2020-12-03,NA,Black,NA,71260,806211,2642
2020-12-03,NA,Hispanic,NA,145417,774404,2199
2020-12-03,NA,Left Blank,NA,243943,5005393,370
2020-12-03,NA,NH/PI*,NA,753,11018,13
2020-12-03,NA,Other,NA,26107,332682,78
2020-12-03,NA,White,NA,256297,3466666,7048
2020-12-03,NA,NA,Female,392247,5651349,5945
2020-12-03,NA,NA,Male,355616,4275042,6885
2020-12-03,NA,NA,Unknown/Left Blank,11699,879973,0
2020-12-02,<20,AI/AN**,NA,113,1172,0
2020-12-02,<20,Asian,NA,1641,78769,0
2020-12-02,<20,Black,NA,8172,99894,5
2020-12-02,<20,Hispanic,NA,24646,152929,1
2020-12-02,<20,Left Blank,NA,35968,461154,0
2020-12-02,<20,NH/PI*,NA,87,1787,0
2020-12-02,<20,Other,NA,3932,56718,0
2020-12-02,<20,White,NA,31921,463396,2
2020-12-02,<20,NA,NA,106480,1315819,8
2020-12-02,20-29,AI/AN**,NA,168,1933,0
2020-12-02,20-29,Asian,NA,2866,176706,2
2020-12-02,20-29,Black,NA,12889,155958,16
2020-12-02,20-29,Hispanic,NA,30534,205379,20
2020-12-02,20-29,Left Blank,NA,46003,784638,0
2020-12-02,20-29,NH/PI*,NA,132,3049,0
2020-12-02,20-29,Other,NA,5132,83127,1
2020-12-02,20-29,White,NA,44158,691774,1
2020-12-02,20-29,NA,NA,141882,2102564,40
2020-12-02,30-39,AI/AN**,NA,149,1313,0
2020-12-02,30-39,Asian,NA,2566,49321,6
2020-12-02,30-39,Black,NA,11893,121951,57
2020-12-02,30-39,Hispanic,NA,26548,130486,84
2020-12-02,30-39,Left Blank,NA,39604,702884,2
2020-12-02,30-39,NH/PI*,NA,140,1828,0
2020-12-02,30-39,Other,NA,4596,54263,0
2020-12-02,30-39,White,NA,34999,458945,15
