county,date,measure,group,cases,tested
Adams,2020-12-17,age,70-79,3,7
Adams,2020-12-17,age,80+,2,3
Adams,2020-12-17,age,Unknown,1,6
Adams,2020-12-17,gender,Female,2858,43327
Adams,2020-12-17,gender,Male,2464,29882
Adams,2020-12-17,gender,Unknown/Left Blank,348,6665
Adams,2020-12-17,race,AI/AN**,0,25
Adams,2020-12-17,race,Asian,0,109
Adams,2020-12-17,race,Black,86,715
Adams,2020-12-17,race,Hispanic,10,178
Adams,2020-12-17,race,Left Blank,4219,56395
Adams,2020-12-17,race,NH/PI*,0,48
Adams,2020-12-17,race,Other,0,116
Adams,2020-12-17,race,White,1336,22288
Adams,2020-12-16,age,<20,7,6
Adams,2020-12-16,age,20-29,9,8
Adams,2020-12-16,age,30-39,6,2
Adams,2020-12-16,age,40-49,4,9
Adams,2020-12-16,age,50-59,8,3
Adams,2020-12-16,age,60-69,5,7
Adams,2020-12-16,age,70-79,3,5
Adams,2020-12-16,age,80+,2,1
Adams,2020-12-16,age,Unknown,1,4
Adams,2020-12-16,gender,Female,2831,42780
Adams,2020-12-16,gender,Male,2437,29573
Adams,2020-12-16,gender,Unknown/Left Blank,326,6550
Adams,2020-12-16,race,AI/AN**,0,25
Adams,2020-12-16,race,Asian,0,106
Adams,2020-12-16,race,Black,86,711
Adams,2020-12-16,race,Hispanic,9,176
Adams,2020-12-16,race,Left Blank,4155,55499
Adams,2020-12-16,race,NH/PI*,0,48
Adams,2020-12-16,race,Other,0,115
Adams,2020-12-16,race,White,1325,22223
Adams,2020-12-15,age,<20,7,6
Adams,2020-12-15,age,20-29,9,8
Adams,2020-12-15,age,30-39,6,2
Adams,2020-12-15,age,40-49,4,9
Adams,2020-12-15,age,50-59,8,3
Adams,2020-12-15,age,60-69,5,7
Adams,2020-12-15,age,70-79,3,5
Adams,2020-12-15,age,80+,2,1
Adams,2020-12-15,age,Unknown,1,4
Adams,2020-12-15,gender,Female,2815,42421
Adams,2020-12-15,gender,Male,2419,29243
Adams,2020-12-15,gender,Unknown/Left Blank,325,6428
Adams,2020-12-15,race,AI/AN**,0,24
Adams,2020-12-15,race,Asian,0,106
Adams,2020-12-15,race,Black,85,708
Adams,2020-12-15,race,Hispanic,9,176
Adams,2020-12-15,race,Left Blank,4124,54851
Adams,2020-12-15,race,NH/PI*,0,48
Adams,2020-12-15,race,Other,0,114
Adams,2020-12-15,race,White,1322,22065
Adams,2020-12-14,age,<20,7,6
Adams,2020-12-14,age,20-29,9,8
Adams,2020-12-14,age,30-39,6,2
Adams,2020-12-14,age,40-49,4,9
Adams,2020-12-14,age,50-59,8,3
Adams,2020-12-14,age,60-69,5,7
Adams,2020-12-14,age,70-79,3,5
Adams,2020-12-14,age,80+,2,1
Adams,2020-12-14,age,Unknown,1,4
Adams,2020-12-14,gender,Female,2780,41804
Adams,2020-12-14,gender,Male,2387,28762
Adams,2020-12-14,gender,Unknown/Left Blank,311,6260
Adams,2020-12-14,race,AI/AN**,0,24
Adams,2020-12-14,race,Asian,0,106
Adams,2020-12-14,race,Black,85,704
Adams,2020-12-14,race,Hispanic,9,175
Adams,2020-12-14,race,Left Blank,4057,53735
Adams,2020-12-14,race,NH/PI*,0,48
Adams,2020-12-14,race,Other,0,114
Adams,2020-12-14,race,White,1309,21920
Adams,2020-12-13,age,<20,7,6
Adams,2020-12-13,age,20-29,9,8
Adams,2020-12-13,age,30-39,6,1
Adams,2020-12-13,age,40-49,4,9
Adams,2020-12-13,age,50-59,8,3
Adams,2020-12-13,age,60-69,5,7
Adams,2020-12-13,age,70-79,3,5
Adams,2020-12-13,age,80+,2,2
Adams,2020-12-13,age,Unknown,1,4
