County,confirmed_cases,total_tested,probable_deaths,deaths,date
Douglas,2185,24786,6,29,2021-02-09
DuPage,73981,970567,82,1136,2021-02-09
Edgar,1522,12057,21,36,2021-02-09
Edwards,510,3434,1,9,2021-02-09
Effingham,4434,35191,12,68,2021-02-09
Fayette,3040,23757,4,52,2021-02-09
Ford,1488,22549,9,43,2021-02-09
Franklin,4065,40193,13,63,2021-02-09
Fulton,2754,60350,8,44,2021-02-09
Gallatin,421,3369,1,3,2021-02-09
Greene,1347,11686,15,30,2021-02-09
Grundy,4840,41181,6,58,2021-02-09
Hamilton,761,5836,3,14,2021-02-09
Hancock,1615,15353,11,27,2021-02-09
Hardin,332,4277,0,11,2021-02-09
Henderson,489,5819,9,8,2021-02-09
Henry,4232,54016,29,53,2021-02-09
Illinois,1150170,16739500,2116,19686,2021-02-09
Iroquois,2720,37056,2,59,2021-02-09
Jackson,4503,60419,12,60,2021-02-09
Jasper,1092,9669,2,17,2021-02-09
Jefferson,3848,38343,1,111,2021-02-09
Jersey,2417,24854,20,44,2021-02-09
Jo Daviess,1572,17569,4,22,2021-02-09
Johnson,1328,27189,6,10,2021-02-09
Kane,49170,504627,55,694,2021-02-09
Kankakee,12069,171328,8,186,2021-02-09
Kendall,10624,101416,9,81,2021-02-09
Knox,4882,69123,33,121,2021-02-09
Lake,57323,730621,80,892,2021-02-09
LaSalle,10325,128393,57,208,2021-02-09
Lawrence,2254,28469,9,23,2021-02-09
Lee,3254,50617,41,42,2021-02-09
Livingston,4027,68726,13,69,2021-02-09
Logan,3269,60593,13,50,2021-02-09
Macon,9285,129688,11,178,2021-02-09
Macoupin,4227,56458,32,73,2021-02-09
Madison,26970,245710,82,438,2021-02-09
Marion,4220,58809,7,109,2021-02-09
Marshall,801,14985,3,14,2021-02-09
Mason,1253,17209,2,41,2021-02-09
Massac,1204,9177,4,30,2021-02-09
McDonough,2274,35541,12,40,2021-02-09
McHenry,23361,247248,29,255,2021-02-09
McLean,14197,233448,36,147,2021-02-09
Menard,1005,14892,5,6,2021-02-09
Mercer,1236,14102,0,31,2021-02-09
Monroe,3937,33427,0,76,2021-02-09
Montgomery,3336,51341,7,67,2021-02-09
Morgan,3456,44247,21,75,2021-02-09
Moultrie,1463,18974,8,21,2021-02-09
Ogle,4871,46911,9,69,2021-02-09
Out Of State,6,103472,0,0,2021-02-09
Peoria,16296,238198,19,248,2021-02-09
Perry,2960,31508,10,56,2021-02-09
Piatt,1272,24567,7,13,2021-02-09
Pike,1652,14634,3,48,2021-02-09
Pope,273,2359,1,3,2021-02-09
Pulaski,656,5018,0,4,2021-02-09
Putnam,388,4595,1,3,2021-02-09
Randolph,3917,41698,7,74,2021-02-09
Richland,1618,20159,9,38,2021-02-09
Rock Island,12667,150604,42,278,2021-02-09
Saline,2219,25899,17,43,2021-02-09
Sangamon,15623,283337,40,212,2021-02-09
Schuyler,665,9614,12,5,2021-02-09
Scott,443,6836,0,1,2021-02-09
Shelby,2078,20089,3,33,2021-02-09
St. Clair,24446,276615,48,440,2021-02-09
Stark,517,7081,0,22,2021-02-09
Stephenson,3876,43634,19,67,2021-02-09
Tazewell,12991,167831,36,229,2021-02-09
Unassigned,70,97963,0,0,2021-02-09
Union,2151,26931,6,31,2021-02-09
Vermilion,8258,100672,17,109,2021-02-09
Wabash,1283,11354,5,12,2021-02-09
Warren,1649,14083,4,43,2021-02-09
Washington,1550,10542,6,22,2021-02-09
Wayne,1632,13303,2,44,2021-02-09
White,1552,19387,10,23,2021-02-09
Whiteside,5693,52291,43,140,2021-02-09
Will,62688,662275,77,860,2021-02-09
Williamson,6642,80077,12,115,2021-02-09
Winnebago,27697,301877,31,412,2021-02-09
Woodford,3534,51304,13,59,2021-02-09
Adams,7807,117313,32,109,2021-02-08
Alexander,426,4623,0,8,2021-02-08
Bond,1831,20952,6,22,2021-02-08
Boone,5800,48139,12,74,2021-02-08
Brown,647,19549,6,6,2021-02-08
Bureau,3178,33406,14,73,2021-02-08
Calhoun,467,4753,3,2,2021-02-08
Carroll,1523,16494,1,32,2021-02-08
Cass,1848,16263,9,22,2021-02-08
Champaign,16958,1556283,7,109,2021-02-08
Chicago,238251,3117278,243,4717,2021-02-08
Christian,3200,38499,18,62,2021-02-08
Clark,1626,12935,8,28,2021-02-08
Clay,1400,12815,4,39,2021-02-08
Clinton,5462,49259,9,85,2021-02-08
Coles,4994,60217,2,88,2021-02-08
Cook,222867,2846324,336,4307,2021-02-08
Crawford,1947,27622,16,21,2021-02-08
Cumberland,1142,9688,12,17,2021-02-08
De Witt,1232,16425,8,22,2021-02-08
DeKalb,7977,100696,6,106,2021-02-08
Douglas,2182,24680,6,29,2021-02-08
DuPage,73832,968020,82,1135,2021-02-08
Edgar,1523,12041,21,36,2021-02-08
Edwards,509,3415,1,8,2021-02-08
Effingham,4433,35081,12,68,2021-02-08
Fayette,3039,23731,4,52,2021-02-08
Ford,1482,22402,9,43,2021-02-08
Franklin,4056,40114,13,63,2021-02-08
Fulton,2748,60274,8,44,2021-02-08
Gallatin,419,3357,1,3,2021-02-08
Greene,1345,11666,15,30,2021-02-08
Grundy,4807,40998,6,58,2021-02-08
Hamilton,759,5816,3,14,2021-02-08
Hancock,1613,15293,11,27,2021-02-08
Hardin,331,4270,0,11,2021-02-08
Henderson,489,5753,9,8,2021-02-08
Henry,4227,53811,29,53,2021-02-08
Illinois,1148088,16683795,2111,19668,2021-02-08
Iroquois,2714,36997,2,59,2021-02-08
Jackson,4496,60240,12,60,2021-02-08
Jasper,1091,9587,2,17,2021-02-08
Jefferson,3845,38214,1,111,2021-02-08
Jersey,2414,24789,20,44,2021-02-08
Jo Daviess,1571,17435,4,22,2021-02-08
Johnson,1324,27156,6,10,2021-02-08
Kane,49098,503057,55,694,2021-02-08
Kankakee,12050,170620,8,186,2021-02-08
Kendall,10598,101066,9,81,2021-02-08
Knox,4854,69007,33,121,2021-02-08
Lake,57226,728136,80,892,2021-02-08
LaSalle,10310,127957,56,205,2021-02-08
Lawrence,2251,28254,9,23,2021-02-08
Lee,3250,50513,41,42,2021-02-08
Livingston,4023,68475,13,69,2021-02-08
Logan,3259,60463,13,50,2021-02-08
Macon,9271,128834,11,178,2021-02-08
Macoupin,4223,56188,32,73,2021-02-08
Madison,26907,244978,81,438,2021-02-08
Marion,4214,58748,7,109,2021-02-08
Marshall,798,14935,3,14,2021-02-08
Mason,1253,17090,2,41,2021-02-08
Massac,1198,9152,4,30,2021-02-08
McDonough,2269,35327,12,39,2021-02-08
McHenry,23302,246203,28,254,2021-02-08
McLean,14162,232673,36,146,2021-02-08
Menard,1001,14852,5,6,2021-02-08
Mercer,1233,14038,0,31,2021-02-08
Monroe,3926,33369,0,75,2021-02-08
Montgomery,3326,51231,7,67,2021-02-08
Morgan,3449,44109,21,75,2021-02-08
Moultrie,1461,18924,8,21,2021-02-08
Ogle,4861,46722,8,69,2021-02-08
Out Of State,0,103148,0,0,2021-02-08
Peoria,16251,237484,18,248,2021-02-08
Perry,2955,31480,10,56,2021-02-08
Piatt,1268,24487,7,13,2021-02-08
Pike,1651,14581,3,48,2021-02-08
Pope,273,2354,1,3,2021-02-08
Pulaski,656,4997,0,4,2021-02-08
Putnam,387,4580,1,3,2021-02-08
Randolph,3904,41623,7,74,2021-02-08
Richland,1617,20102,9,38,2021-02-08
