County,confirmed_cases,total_tested,probable_deaths,deaths,date
Adams,7684,111434,29,107,2021-01-29
Alexander,412,4454,0,8,2021-01-29
Bond,1806,19626,6,21,2021-01-29
Boone,5704,46242,12,69,2021-01-29
Brown,636,15582,6,6,2021-01-29
Bureau,3106,31776,13,72,2021-01-29
Calhoun,453,4568,3,2,2021-01-29
Carroll,1500,15797,1,32,2021-01-29
Cass,1826,15319,9,22,2021-01-29
Champaign,16244,1456991,8,101,2021-01-29
Chicago,233562,2978420,233,4609,2021-01-29
Christian,3106,35276,18,61,2021-01-29
Clark,1580,12140,8,28,2021-01-29
Clay,1370,12098,5,36,2021-01-29
Clinton,5289,46251,9,82,2021-01-29
Coles,4871,56899,2,86,2021-01-29
Cook,218019,2714268,322,4210,2021-01-29
Crawford,1882,26060,16,21,2021-01-29
Cumberland,1125,9286,12,15,2021-01-29
De Witt,1204,15373,7,22,2021-01-29
DeKalb,7805,94227,5,100,2021-01-29
Douglas,2105,23485,6,29,2021-01-29
DuPage,72068,922121,85,1106,2021-01-29
Edgar,1506,11508,20,33,2021-01-29
Edwards,489,3268,1,8,2021-01-29
Effingham,4376,33577,11,64,2021-01-29
Fayette,3002,22480,3,51,2021-01-29
Ford,1430,21417,8,43,2021-01-29
Franklin,3983,38282,12,61,2021-01-29
Fulton,2678,56532,8,43,2021-01-29
Gallatin,409,3189,1,3,2021-01-29
Greene,1298,11142,13,30,2021-01-29
Grundy,4632,38431,4,51,2021-01-29
Hamilton,746,5479,3,14,2021-01-29
Hancock,1587,14699,10,27,2021-01-29
Hardin,316,4034,0,10,2021-01-29
Henderson,475,5439,9,8,2021-01-29
Henry,4167,51755,29,52,2021-01-29
Illinois,1120528,15844619,2008,19138,2021-01-29
Iroquois,2667,35911,2,57,2021-01-29
Jackson,4371,56989,11,59,2021-01-29
Jasper,1077,9127,2,14,2021-01-29
Jefferson,3660,34675,1,107,2021-01-29
Jersey,2348,23558,19,44,2021-01-29
Jo Daviess,1547,16910,3,22,2021-01-29
Johnson,1289,23676,6,9,2021-01-29
Kane,47991,480669,52,677,2021-01-29
Kankakee,11842,163929,8,181,2021-01-29
Kendall,10267,96057,9,76,2021-01-29
Knox,4765,64339,31,118,2021-01-29
Lake,55663,694476,71,870,2021-01-29
LaSalle,10016,119251,55,200,2021-01-29
Lawrence,2222,24877,9,22,2021-01-29
Lee,3189,45380,39,39,2021-01-29
Livingston,3899,62905,12,62,2021-01-29
Logan,3210,56831,13,50,2021-01-29
Macon,9073,119994,10,173,2021-01-29
Macoupin,4112,53870,29,71,2021-01-29
Madison,25953,233411,73,426,2021-01-29
Marion,4165,53414,6,107,2021-01-29
Marshall,738,14117,2,13,2021-01-29
Mason,1214,16079,1,40,2021-01-29
Massac,1105,8677,3,30,2021-01-29
McDonough,2218,33543,12,39,2021-01-29
McHenry,22626,234036,26,242,2021-01-29
McLean,13812,222580,36,142,2021-01-29
Menard,939,14179,4,6,2021-01-29
Mercer,1204,13619,0,31,2021-01-29
Monroe,3789,31461,0,72,2021-01-29
Montgomery,3240,47093,6,56,2021-01-29
Morgan,3352,41928,19,74,2021-01-29
Moultrie,1427,17920,8,20,2021-01-29
Ogle,4789,44934,8,67,2021-01-29
Out Of State,2,94225,0,0,2021-01-29
Peoria,15736,227398,15,241,2021-01-29
Perry,2858,28567,9,55,2021-01-29
Piatt,1221,23385,6,13,2021-01-29
Pike,1634,13914,3,47,2021-01-29
Pope,264,2226,0,3,2021-01-29
Pulaski,639,4696,0,3,2021-01-29
Putnam,373,4298,1,2,2021-01-29
Randolph,3847,39362,6,73,2021-01-29
Richland,1594,19209,9,37,2021-01-29
Rock Island,12360,143552,43,269,2021-01-29
Saline,2124,24094,16,42,2021-01-29
Sangamon,15148,271071,41,210,2021-01-29
Schuyler,658,9097,12,5,2021-01-29
Scott,418,6454,0,1,2021-01-29
Shelby,2047,18872,3,33,2021-01-29
St. Clair,23525,253882,44,425,2021-01-29
Stark,502,6774,0,21,2021-01-29
Stephenson,3727,41448,19,63,2021-01-29
Tazewell,12574,160641,34,224,2021-01-29
Unassigned,74,95227,0,0,2021-01-29
Union,2085,25201,4,30,2021-01-29
Vermilion,7967,94375,17,103,2021-01-29
Wabash,1243,10817,3,12,2021-01-29
Warren,1613,12497,3,43,2021-01-29
Washington,1519,10012,6,20,2021-01-29
Wayne,1569,12590,1,43,2021-01-29
White,1455,18564,10,23,2021-01-29
Whiteside,5537,49563,42,136,2021-01-29
Will,60910,623935,73,835,2021-01-29
Williamson,6487,76138,12,111,2021-01-29
Winnebago,27133,287061,30,399,2021-01-29
Woodford,3418,48445,13,57,2021-01-29
Adams,7646,110637,29,107,2021-01-28
Alexander,412,4431,0,8,2021-01-28
Bond,1803,19339,6,20,2021-01-28
Boone,5684,46079,12,69,2021-01-28
Brown,634,15561,6,6,2021-01-28
Bureau,3101,31546,13,72,2021-01-28
Calhoun,452,4540,3,2,2021-01-28
Carroll,1493,15728,1,32,2021-01-28
Cass,1820,15190,10,22,2021-01-28
Champaign,16162,1444620,8,100,2021-01-28
Chicago,232887,2960062,235,4601,2021-01-28
Christian,3090,34977,18,61,2021-01-28
Clark,1571,12051,8,28,2021-01-28
Clay,1363,11984,5,36,2021-01-28
Clinton,5265,45871,8,82,2021-01-28
Coles,4858,56444,2,85,2021-01-28
Cook,217229,2694358,325,4202,2021-01-28
Crawford,1873,25958,16,21,2021-01-28
Cumberland,1122,9203,12,15,2021-01-28
De Witt,1202,15170,7,22,2021-01-28
DeKalb,7753,93739,4,99,2021-01-28
Douglas,2092,23291,6,28,2021-01-28
DuPage,71819,916784,85,1104,2021-01-28
Edgar,1500,11415,20,33,2021-01-28
Edwards,488,3245,1,8,2021-01-28
Effingham,4370,33389,11,63,2021-01-28
Fayette,2993,22282,3,50,2021-01-28
Ford,1424,21227,8,43,2021-01-28
Franklin,3976,37988,12,61,2021-01-28
Fulton,2672,56299,8,43,2021-01-28
Gallatin,406,3169,1,3,2021-01-28
Greene,1293,11085,13,30,2021-01-28
Grundy,4609,38154,4,51,2021-01-28
Hamilton,743,5439,3,14,2021-01-28
Hancock,1579,14630,10,27,2021-01-28
Hardin,316,3994,0,10,2021-01-28
Henderson,472,5373,9,8,2021-01-28
Henry,4160,51400,29,52,2021-01-28
Illinois,1116372,15733562,2007,19067,2021-01-28
Iroquois,2664,35795,2,56,2021-01-28
Jackson,4350,56291,11,59,2021-01-28
Jasper,1076,9065,2,14,2021-01-28
Jefferson,3646,34433,1,107,2021-01-28
Jersey,2341,23408,18,44,2021-01-28
Jo Daviess,1544,16863,3,22,2021-01-28
Johnson,1286,22677,6,9,2021-01-28
Kane,47840,477400,50,670,2021-01-28
Kankakee,11818,162883,8,181,2021-01-28
Kendall,10185,95328,9,75,2021-01-28
Knox,4746,63866,31,118,2021-01-28
Lake,55452,689007,72,866,2021-01-28
LaSalle,9971,118501,53,199,2021-01-28
Lawrence,2220,24596,9,22,2021-01-28
Lee,3179,45210,39,39,2021-01-28
Livingston,3873,62397,12,62,2021-01-28
Logan,3200,56644,13,49,2021-01-28
Macon,9049,119158,10,173,2021-01-28
Macoupin,4090,53449,28,71,2021-01-28
Madison,25824,231917,73,424,2021-01-28
Marion,4152,52969,6,107,2021-01-28
Marshall,723,13994,2,13,2021-01-28
Mason,1210,15978,1,40,2021-01-28
Massac,1100,8626,3,30,2021-01-28
McDonough,2214,33329,12,39,2021-01-28
McHenry,22533,232665,26,238,2021-01-28
McLean,13744,220576,35,142,2021-01-28
Menard,934,14080,4,6,2021-01-28
Mercer,1200,13543,0,31,2021-01-28
Monroe,3755,31240,0,72,2021-01-28
Montgomery,3229,46756,6,56,2021-01-28
Morgan,3347,41671,19,74,2021-01-28
Moultrie,1424,17653,8,20,2021-01-28
Ogle,4772,44621,8,67,2021-01-28
Out Of State,34,93626,0,0,2021-01-28
Peoria,15684,225564,15,240,2021-01-28
Perry,2849,27876,9,55,2021-01-28
Piatt,1208,23254,6,12,2021-01-28
Pike,1627,13852,3,46,2021-01-28
Pope,263,2200,0,3,2021-01-28
Pulaski,633,4635,0,3,2021-01-28
Putnam,371,4261,1,2,2021-01-28
Randolph,3835,38913,6,72,2021-01-28
Richland,1588,19120,9,37,2021-01-28
Rock Island,12327,141822,44,267,2021-01-28
Saline,2118,23931,16,41,2021-01-28
Sangamon,15090,270014,41,210,2021-01-28
Schuyler,657,9057,12,5,2021-01-28
Scott,416,6450,0,1,2021-01-28
Shelby,2042,18587,3,32,2021-01-28
St. Clair,23408,251062,44,422,2021-01-28
Stark,502,6741,0,21,2021-01-28
Stephenson,3702,40881,19,61,2021-01-28
Tazewell,12508,159706,34,222,2021-01-28
Unassigned,76,94898,1,0,2021-01-28
Union,2074,24937,3,30,2021-01-28
Vermilion,7928,93629,17,102,2021-01-28
Wabash,1241,10781,3,12,2021-01-28
Warren,1613,12446,3,43,2021-01-28
Washington,1514,9952,6,20,2021-01-28
Wayne,1566,12518,1,43,2021-01-28
White,1444,18350,10,23,2021-01-28
Whiteside,5518,49289,42,135,2021-01-28
Will,60614,618827,73,831,2021-01-28
Williamson,6438,75361,11,110,2021-01-28
Winnebago,27024,285232,31,396,2021-01-28
Woodford,3399,48156,13,57,2021-01-28
Adams,7624,109847,29,106,2021-01-27
Alexander,409,4406,0,8,2021-01-27
Bond,1795,19042,6,20,2021-01-27
Boone,5676,45906,12,68,2021-01-27
Brown,633,15161,6,6,2021-01-27
Bureau,3085,31356,13,72,2021-01-27
Calhoun,452,4518,3,2,2021-01-27
Carroll,1490,15654,1,32,2021-01-27
Cass,1808,15069,10,22,2021-01-27
Champaign,16095,1433898,7,100,2021-01-27
Chicago,232075,2945047,228,4580,2021-01-27
Christian,3077,34340,18,61,2021-01-27
Clark,1557,11846,8,28,2021-01-27
Clay,1359,11889,5,36,2021-01-27
Clinton,5247,45395,8,79,2021-01-27
Coles,4827,56049,2,84,2021-01-27
Cook,216471,2680483,321,4176,2021-01-27
Crawford,1859,25759,16,21,2021-01-27
Cumberland,1122,9147,12,15,2021-01-27
De Witt,1197,15116,7,22,2021-01-27
DeKalb,7727,93362,3,96,2021-01-27
Douglas,2081,23125,6,28,2021-01-27
DuPage,71529,911346,85,1098,2021-01-27
Edgar,1500,11345,20,33,2021-01-27
Edwards,487,3233,1,8,2021-01-27
Effingham,4368,33137,10,63,2021-01-27
Fayette,2985,22008,4,50,2021-01-27
Ford,1419,21125,8,43,2021-01-27
Franklin,3971,37756,11,61,2021-01-27
Fulton,2656,55643,8,42,2021-01-27
Gallatin,406,3148,1,3,2021-01-27
Greene,1288,11024,13,30,2021-01-27
Grundy,4586,37901,4,51,2021-01-27
Hamilton,734,5383,3,14,2021-01-27
Hancock,1568,14526,10,27,2021-01-27
Hardin,315,3982,0,10,2021-01-27
Henderson,472,5348,9,7,2021-01-27
Henry,4143,51010,28,51,2021-01-27
Illinois,1112181,15633443,1985,18964,2021-01-27
Iroquois,2659,35482,2,56,2021-01-27
Jackson,4339,56023,11,59,2021-01-27
Jasper,1069,8967,2,14,2021-01-27
Jefferson,3624,33458,1,107,2021-01-27
Jersey,2329,23151,18,44,2021-01-27
Jo Daviess,1541,16795,3,22,2021-01-27
Johnson,1275,22023,6,9,2021-01-27
Kane,47657,474720,50,666,2021-01-27
Kankakee,11779,161722,8,180,2021-01-27
Kendall,10135,94851,9,75,2021-01-27
Knox,4740,63647,32,118,2021-01-27
Lake,55275,685356,72,862,2021-01-27
LaSalle,9901,116496,53,199,2021-01-27
Lawrence,2211,24491,9,22,2021-01-27
Lee,3171,44782,39,37,2021-01-27
Livingston,3857,61264,11,62,2021-01-27
Logan,3197,56535,12,49,2021-01-27
Macon,9034,118232,10,173,2021-01-27
Macoupin,4073,53110,28,71,2021-01-27
Madison,25705,230373,70,422,2021-01-27
Marion,4131,51663,6,107,2021-01-27
Marshall,718,13879,2,13,2021-01-27
Mason,1206,15823,1,40,2021-01-27
Massac,1092,8586,3,30,2021-01-27
McDonough,2206,33015,12,39,2021-01-27
McHenry,22435,231017,26,237,2021-01-27
McLean,13686,219292,35,141,2021-01-27
Menard,926,14005,4,6,2021-01-27
Mercer,1196,13480,0,31,2021-01-27
Monroe,3733,31133,0,71,2021-01-27
Montgomery,3198,45677,6,55,2021-01-27
Morgan,3337,41403,19,74,2021-01-27
Moultrie,1422,17586,8,20,2021-01-27
Ogle,4754,44300,7,67,2021-01-27
Out Of State,34,93058,0,0,2021-01-27
Peoria,15625,224048,15,240,2021-01-27
Perry,2808,27510,9,54,2021-01-27
Piatt,1201,23133,6,12,2021-01-27
Pike,1618,13710,3,45,2021-01-27
Pope,261,2184,0,3,2021-01-27
Pulaski,631,4570,0,3,2021-01-27
Putnam,366,4220,1,2,2021-01-27
Randolph,3826,38716,6,72,2021-01-27
Richland,1582,19020,9,37,2021-01-27
Rock Island,12295,141223,44,267,2021-01-27
Saline,2112,23586,16,41,2021-01-27
Sangamon,15036,268421,41,209,2021-01-27
Schuyler,655,8854,12,5,2021-01-27
Scott,414,6423,0,1,2021-01-27
Shelby,2033,18468,3,32,2021-01-27
St. Clair,23296,249622,43,419,2021-01-27
Stark,501,6711,0,21,2021-01-27
Stephenson,3687,40723,19,59,2021-01-27
Tazewell,12447,158755,34,222,2021-01-27
Unassigned,69,94460,0,0,2021-01-27
Union,2056,24748,2,30,2021-01-27
Vermilion,7897,93192,17,102,2021-01-27
Wabash,1236,10673,3,12,2021-01-27
Warren,1609,12382,3,42,2021-01-27
Washington,1511,9876,6,20,2021-01-27
Wayne,1563,12474,1,43,2021-01-27
White,1436,18255,10,23,2021-01-27
Whiteside,5495,48949,41,135,2021-01-27
Will,60378,613941,73,825,2021-01-27
Williamson,6417,74828,11,109,2021-01-27
Winnebago,26962,283504,33,391,2021-01-27
Woodford,3382,47642,13,57,2021-01-27
Adams,7597,109298,28,103,2021-01-26
Alexander,407,4383,0,8,2021-01-26
Bond,1789,18879,6,20,2021-01-26
Boone,5664,45751,12,68,2021-01-26
Brown,626,14255,6,6,2021-01-26
Bureau,3068,31233,13,72,2021-01-26
Calhoun,451,4483,3,2,2021-01-26
Carroll,1483,15570,1,32,2021-01-26
Cass,1801,14913,10,21,2021-01-26
Champaign,16003,1420105,7,100,2021-01-26
Chicago,231446,2933729,226,4566,2021-01-26
Christian,3067,34209,18,61,2021-01-26
Clark,1546,11776,7,27,2021-01-26
Clay,1349,11785,5,36,2021-01-26
Clinton,5208,45079,8,79,2021-01-26
Coles,4812,55640,2,84,2021-01-26
Cook,215849,2669998,320,4168,2021-01-26
Crawford,1849,25668,16,21,2021-01-26
Cumberland,1120,9114,12,15,2021-01-26
De Witt,1196,15042,7,22,2021-01-26
DeKalb,7706,93017,3,93,2021-01-26
Douglas,2064,22946,6,28,2021-01-26
DuPage,71323,908013,84,1095,2021-01-26
Edgar,1495,11249,20,33,2021-01-26
Edwards,485,3199,1,8,2021-01-26
Effingham,4372,33048,10,63,2021-01-26
Fayette,2976,21921,3,50,2021-01-26
Ford,1412,20963,8,43,2021-01-26
Franklin,3960,37508,11,61,2021-01-26
Fulton,2645,55408,8,42,2021-01-26
Gallatin,402,3120,1,3,2021-01-26
Greene,1289,10914,13,30,2021-01-26
Grundy,4573,37697,4,50,2021-01-26
Hamilton,733,5344,3,14,2021-01-26
Hancock,1563,14418,10,26,2021-01-26
Hardin,313,3936,0,9,2021-01-26
Henderson,470,5330,9,7,2021-01-26
Henry,4135,50770,28,50,2021-01-26
Illinois,1108430,15553319,1970,18883,2021-01-26
Iroquois,2646,35305,2,56,2021-01-26
Jackson,4322,55707,11,59,2021-01-26
Jasper,1068,8907,1,14,2021-01-26
Jefferson,3579,33272,1,105,2021-01-26
Jersey,2317,22887,18,44,2021-01-26
Jo Daviess,1534,16777,3,22,2021-01-26
Johnson,1265,21873,6,9,2021-01-26
Kane,47475,472797,49,664,2021-01-26
Kankakee,11760,160400,8,180,2021-01-26
Kendall,10087,94411,9,74,2021-01-26
Knox,4718,63488,31,117,2021-01-26
Lake,55096,682106,72,860,2021-01-26
LaSalle,9834,115795,53,197,2021-01-26
Lawrence,2207,24447,9,22,2021-01-26
Lee,3156,43915,39,37,2021-01-26
Livingston,3828,60625,10,61,2021-01-26
Logan,3190,55550,12,48,2021-01-26
Macon,9023,117897,10,173,2021-01-26
Macoupin,4056,52723,27,71,2021-01-26
Madison,25542,229131,69,418,2021-01-26
Marion,4115,51251,6,107,2021-01-26
Marshall,713,13819,2,13,2021-01-26
Mason,1202,15733,1,40,2021-01-26
Massac,1074,8518,3,30,2021-01-26
McDonough,2200,32839,12,39,2021-01-26
McHenry,22372,229834,25,235,2021-01-26
McLean,13653,218341,35,139,2021-01-26
Menard,924,13930,4,6,2021-01-26
Mercer,1194,13437,0,31,2021-01-26
Monroe,3720,30795,0,71,2021-01-26
Montgomery,3174,45304,5,53,2021-01-26
Morgan,3330,41277,19,74,2021-01-26
Moultrie,1420,17504,8,20,2021-01-26
Ogle,4745,44112,8,66,2021-01-26
Out Of State,34,92483,0,0,2021-01-26
Peoria,15571,222848,15,241,2021-01-26
Perry,2800,27427,9,54,2021-01-26
Piatt,1198,23015,6,12,2021-01-26
Pike,1614,13650,3,45,2021-01-26
Pope,258,2162,0,3,2021-01-26
Pulaski,625,4543,0,3,2021-01-26
Putnam,363,4180,1,2,2021-01-26
Randolph,3804,38344,6,72,2021-01-26
Richland,1578,18938,9,37,2021-01-26
Rock Island,12252,140898,43,267,2021-01-26
Saline,2101,23457,15,40,2021-01-26
Sangamon,14996,266829,41,206,2021-01-26
Schuyler,654,8798,12,5,2021-01-26
Scott,413,6401,0,1,2021-01-26
Shelby,2028,18412,3,32,2021-01-26
St. Clair,23211,248554,43,414,2021-01-26
Stark,501,6652,0,20,2021-01-26
Stephenson,3654,40479,19,58,2021-01-26
Tazewell,12393,158067,34,220,2021-01-26
Unassigned,75,94195,0,0,2021-01-26
Union,2047,24518,2,30,2021-01-26
Vermilion,7842,92056,17,101,2021-01-26
Wabash,1232,10599,3,12,2021-01-26
Warren,1605,12329,3,42,2021-01-26
Washington,1504,9805,6,20,2021-01-26
Wayne,1556,12415,1,42,2021-01-26
White,1424,18158,10,23,2021-01-26
Whiteside,5458,48783,41,135,2021-01-26
Will,60159,611458,75,821,2021-01-26
Williamson,6396,74518,11,108,2021-01-26
Winnebago,26895,282087,32,389,2021-01-26
Woodford,3365,47411,13,57,2021-01-26
Adams,7564,108375,28,101,2021-01-25
Alexander,406,4370,0,7,2021-01-25
Bond,1785,18828,5,19,2021-01-25
Boone,5665,45640,12,68,2021-01-25
Brown,626,14215,6,5,2021-01-25
Bureau,3059,31036,13,72,2021-01-25
Calhoun,450,4431,3,1,2021-01-25
Carroll,1476,15501,1,32,2021-01-25
Cass,1795,14848,10,21,2021-01-25
Champaign,15937,1408507,7,99,2021-01-25
Chicago,230932,2925456,225,4566,2021-01-25
Christian,3062,34106,18,61,2021-01-25
Clark,1532,11737,7,27,2021-01-25
Clay,1340,11730,5,35,2021-01-25
Clinton,5188,44914,7,79,2021-01-25
Coles,4804,55430,2,84,2021-01-25
Cook,215103,2660327,319,4158,2021-01-25
Crawford,1836,25558,15,20,2021-01-25
Cumberland,1118,9067,12,15,2021-01-25
De Witt,1192,14982,7,21,2021-01-25
DeKalb,7699,92809,3,92,2021-01-25
Douglas,2057,22878,6,28,2021-01-25
DuPage,71070,904351,84,1089,2021-01-25
Edgar,1494,11232,20,32,2021-01-25
Edwards,478,3153,1,8,2021-01-25
Effingham,4365,32933,10,61,2021-01-25
Fayette,2968,21873,3,50,2021-01-25
Ford,1408,20851,8,43,2021-01-25
Franklin,3946,37399,11,60,2021-01-25
Fulton,2626,55330,8,42,2021-01-25
Gallatin,397,3105,1,3,2021-01-25
Greene,1284,10875,13,30,2021-01-25
Grundy,4541,37503,4,50,2021-01-25
Hamilton,732,5324,3,14,2021-01-25
Hancock,1556,14314,10,25,2021-01-25
Hardin,312,3927,0,8,2021-01-25
Henderson,468,5248,9,7,2021-01-25
Henry,4120,50521,27,51,2021-01-25
Illinois,1104763,15484034,1946,18798,2021-01-25
Iroquois,2630,35151,2,56,2021-01-25
Jackson,4316,55416,11,59,2021-01-25
Jasper,1061,8835,1,14,2021-01-25
Jefferson,3570,33197,1,104,2021-01-25
Jersey,2309,22790,18,43,2021-01-25
Jo Daviess,1527,16634,3,22,2021-01-25
Johnson,1257,21822,6,9,2021-01-25
Kane,47289,470645,49,661,2021-01-25
Kankakee,11733,159598,8,179,2021-01-25
Kendall,10039,94008,9,72,2021-01-25
Knox,4712,63361,30,117,2021-01-25
Lake,54851,679360,71,853,2021-01-25
LaSalle,9807,115154,53,197,2021-01-25
Lawrence,2207,24367,9,21,2021-01-25
Lee,3145,43801,39,37,2021-01-25
Livingston,3811,60252,10,60,2021-01-25
Logan,3179,55423,12,47,2021-01-25
Macon,9005,117295,10,172,2021-01-25
Macoupin,4029,52364,26,71,2021-01-25
Madison,25429,227892,66,414,2021-01-25
Marion,4093,51147,6,107,2021-01-25
Marshall,709,13785,2,13,2021-01-25
Mason,1198,15615,1,40,2021-01-25
Massac,1071,8512,3,30,2021-01-25
McDonough,2200,32553,12,39,2021-01-25
McHenry,22290,228649,25,235,2021-01-25
McLean,13590,217001,35,138,2021-01-25
Menard,923,13879,4,6,2021-01-25
Mercer,1191,13389,0,30,2021-01-25
Monroe,3695,30634,0,71,2021-01-25
Montgomery,3166,45208,4,50,2021-01-25
Morgan,3323,41106,19,74,2021-01-25
Moultrie,1418,17399,8,20,2021-01-25
Ogle,4719,43958,8,65,2021-01-25
Out Of State,34,92142,0,0,2021-01-25
Peoria,15535,221851,15,237,2021-01-25
Perry,2796,27352,9,53,2021-01-25
Piatt,1197,22942,6,12,2021-01-25
Pike,1606,13621,3,45,2021-01-25
Pope,258,2159,0,3,2021-01-25
Pulaski,625,4524,0,3,2021-01-25
Putnam,359,4152,1,1,2021-01-25
Randolph,3802,38265,5,69,2021-01-25
Richland,1575,18782,9,37,2021-01-25
Rock Island,12229,140338,42,266,2021-01-25
Saline,2092,23343,15,39,2021-01-25
Sangamon,14956,265876,39,206,2021-01-25
Schuyler,650,8755,12,5,2021-01-25
Scott,408,6256,0,1,2021-01-25
Shelby,2024,18352,3,32,2021-01-25
St. Clair,23107,247560,41,410,2021-01-25
Stark,501,6637,0,20,2021-01-25
Stephenson,3646,40313,19,58,2021-01-25
Tazewell,12346,157396,34,219,2021-01-25
Unassigned,74,94019,0,0,2021-01-25
Union,2040,24344,2,30,2021-01-25
Vermilion,7806,91744,17,100,2021-01-25
Wabash,1219,10540,3,12,2021-01-25
Warren,1604,12295,3,41,2021-01-25
Washington,1498,9762,6,20,2021-01-25
Wayne,1548,12332,1,42,2021-01-25
White,1413,18028,10,23,2021-01-25
Whiteside,5441,48625,40,135,2021-01-25
Will,59914,608670,73,818,2021-01-25
Williamson,6373,74207,11,108,2021-01-25
Winnebago,26813,281040,30,386,2021-01-25
Woodford,3354,47166,13,57,2021-01-25
Adams,7537,107891,28,101,2021-01-24
Alexander,404,4360,0,7,2021-01-24
Bond,1782,18759,4,20,2021-01-24
Boone,5656,45465,12,67,2021-01-24
Brown,622,14202,6,5,2021-01-24
Bureau,3056,30963,13,72,2021-01-24
Calhoun,450,4421,3,1,2021-01-24
Carroll,1468,15464,1,32,2021-01-24
Cass,1794,14830,10,21,2021-01-24
Champaign,15867,1401281,7,99,2021-01-24
Chicago,230403,2910931,225,4559,2021-01-24
Christian,3056,34015,17,61,2021-01-24
Clark,1529,11676,7,27,2021-01-24
Clay,1340,11708,5,35,2021-01-24
Clinton,5174,44694,7,79,2021-01-24
Coles,4790,55281,2,83,2021-01-24
Cook,214524,2645625,312,4147,2021-01-24
Crawford,1831,25511,15,20,2021-01-24
Cumberland,1117,9036,12,15,2021-01-24
De Witt,1190,14931,7,21,2021-01-24
DeKalb,7678,92514,3,91,2021-01-24
Douglas,2045,22829,6,28,2021-01-24
DuPage,70890,900083,84,1084,2021-01-24
Edgar,1492,11174,21,32,2021-01-24
Edwards,478,3150,1,8,2021-01-24
Effingham,4373,32750,11,61,2021-01-24
Fayette,2967,21837,3,50,2021-01-24
Ford,1406,20806,8,43,2021-01-24
Franklin,3937,37269,11,60,2021-01-24
Fulton,2625,55274,8,41,2021-01-24
Gallatin,397,3096,1,3,2021-01-24
Greene,1282,10838,13,30,2021-01-24
Grundy,4531,37367,4,50,2021-01-24
Hamilton,731,5313,3,14,2021-01-24
Hancock,1550,14236,10,25,2021-01-24
Hardin,312,3898,0,8,2021-01-24
Henderson,466,5231,9,7,2021-01-24
Henry,4102,50410,27,50,2021-01-24
Illinois,1101819,15409832,1930,18750,2021-01-24
Iroquois,2624,35016,2,56,2021-01-24
Jackson,4302,55145,11,59,2021-01-24
Jasper,1061,8820,1,14,2021-01-24
Jefferson,3557,33093,1,104,2021-01-24
Jersey,2301,22736,18,43,2021-01-24
Jo Daviess,1523,16617,3,22,2021-01-24
Johnson,1256,20860,6,9,2021-01-24
Kane,47171,468755,49,656,2021-01-24
Kankakee,11720,159249,8,179,2021-01-24
Kendall,10016,93574,9,72,2021-01-24
Knox,4706,63266,30,117,2021-01-24
Lake,54700,675676,71,850,2021-01-24
LaSalle,9791,114716,53,197,2021-01-24
Lawrence,2207,23557,9,21,2021-01-24
Lee,3142,43720,39,37,2021-01-24
Livingston,3792,60078,10,60,2021-01-24
Logan,3169,55267,12,47,2021-01-24
Macon,8982,116949,10,172,2021-01-24
Macoupin,4009,52224,26,70,2021-01-24
Madison,25299,226743,65,412,2021-01-24
Marion,4081,50951,6,107,2021-01-24
Marshall,705,13742,2,13,2021-01-24
Mason,1195,15594,1,40,2021-01-24
Massac,1072,8469,3,30,2021-01-24
McDonough,2193,32444,12,39,2021-01-24
McHenry,22214,227600,25,233,2021-01-24
McLean,13564,216570,34,137,2021-01-24
Menard,916,13815,4,6,2021-01-24
Mercer,1187,13357,0,30,2021-01-24
Monroe,3673,30562,0,71,2021-01-24
Montgomery,3159,45106,4,50,2021-01-24
Morgan,3321,40809,19,74,2021-01-24
Moultrie,1415,17356,8,20,2021-01-24
Ogle,4700,43832,7,65,2021-01-24
Out Of State,32,91874,0,0,2021-01-24
Peoria,15466,221312,15,236,2021-01-24
Perry,2792,26606,9,53,2021-01-24
Piatt,1195,22881,6,12,2021-01-24
Pike,1600,13574,3,45,2021-01-24
Pope,257,2135,0,3,2021-01-24
Pulaski,625,4509,0,3,2021-01-24
Putnam,357,4138,1,1,2021-01-24
Randolph,3802,38062,5,68,2021-01-24
Richland,1571,18726,9,37,2021-01-24
Rock Island,12195,139252,42,266,2021-01-24
Saline,2087,23278,15,39,2021-01-24
Sangamon,14918,264937,37,205,2021-01-24
Schuyler,646,8723,12,5,2021-01-24
Scott,408,6244,0,1,2021-01-24
Shelby,2022,18297,3,32,2021-01-24
St. Clair,22976,243922,41,409,2021-01-24
Stark,499,6633,0,20,2021-01-24
Stephenson,3639,40115,19,58,2021-01-24
Tazewell,12296,156993,33,218,2021-01-24
Unassigned,67,93961,0,0,2021-01-24
Union,2036,24286,2,30,2021-01-24
Vermilion,7784,91488,17,100,2021-01-24
Wabash,1218,10527,3,12,2021-01-24
Warren,1603,12271,3,41,2021-01-24
Washington,1493,9721,6,20,2021-01-24
Wayne,1547,12248,1,42,2021-01-24
White,1402,17950,9,23,2021-01-24
Whiteside,5438,48406,40,135,2021-01-24
Will,59768,604540,71,817,2021-01-24
Williamson,6358,73914,11,108,2021-01-24
Winnebago,26766,279590,30,385,2021-01-24
Woodford,3344,46996,13,57,2021-01-24
Adams,7529,107323,26,101,2021-01-23
Alexander,404,4351,0,7,2021-01-23
Bond,1779,18633,4,20,2021-01-23
Boone,5640,45336,12,67,2021-01-23
Brown,622,13203,6,5,2021-01-23
