date,County,youthCaseCount,youthCaseTested
2020-12-06,Marion,338,3126
2020-12-06,Marshall,68,970
2020-12-06,Mason,119,1633
2020-12-06,Massac,88,748
2020-12-06,McDonough,279,2822
2020-12-06,McHenry,2225,19651
2020-12-06,McLean,1820,30065
2020-12-06,Menard,69,1418
2020-12-06,Mercer,121,1600
2020-12-06,Monroe,341,2747
2020-12-06,Montgomery,140,2662
2020-12-06,Morgan,250,2838
2020-12-06,Moultrie,141,1753
2020-12-06,Ogle,432,4694
2020-12-06,Peoria,1723,24826
2020-12-06,Perry,165,1527
2020-12-06,Piatt,128,3433
2020-12-06,Pike,127,1112
2020-12-06,Pope,8,177
2020-12-06,Pulaski,58,323
2020-12-06,Putnam,29,311
2020-12-06,Randolph,346,2941
2020-12-06,Richland,121,2018
2020-12-06,Rock Island,1123,12280
2020-12-06,Saline,166,1898
2020-12-06,Sangamon,1575,23313
2020-12-06,Schuyler,36,412
2020-12-06,Scott,34,547
2020-12-06,Shelby,190,1730
2020-12-06,St. Clair,2211,19233
2020-12-06,Stark,49,726
2020-12-06,Stephenson,377,3614
2020-12-06,Tazewell,1219,16960
2020-12-06,Unassigned,45,7715
2020-12-06,Union,154,1402
2020-12-06,Vermilion,754,9083
2020-12-06,Wabash,131,1023
2020-12-06,Warren,127,964
2020-12-06,Washington,111,897
2020-12-06,Wayne,175,1274
2020-12-06,White,81,1218
2020-12-06,Whiteside,533,5114
2020-12-06,Will,6389,50546
2020-12-06,Williamson,575,5379
2020-12-06,Winnebago,3262,32548
2020-12-06,Woodford,363,5189
2020-11-29,Adams,680,6425
2020-11-29,Alexander,28,268
2020-11-29,Bond,147,1205
2020-11-29,Boone,650,5023
2020-11-29,Brown,44,299
2020-11-29,Bureau,252,2147
2020-11-29,Calhoun,38,276
2020-11-29,Carroll,105,950
2020-11-29,Cass,144,1355
2020-11-29,Champaign,3041,267410
2020-11-29,Chicago,19214,203029
2020-11-29,Christian,145,2116
2020-11-29,Clark,142,1105
2020-11-29,Clay,104,1180
2020-11-29,Clinton,446,3529
2020-11-29,Coles,537,5319
2020-11-29,Cook,19279,184537
2020-11-29,Crawford,141,1382
2020-11-29,Cumberland,87,751
2020-11-29,De Witt,106,1464
2020-11-29,DeKalb,824,10923
2020-11-29,Douglas,249,3040
2020-11-29,DuPage,6887,68291
2020-11-29,Edgar,125,784
2020-11-29,Edwards,36,375
2020-11-29,Effingham,405,2627
2020-11-29,Fayette,213,1442
2020-11-29,Ford,111,1833
2020-11-29,Franklin,276,2467
2020-11-29,Fulton,248,3332
2020-11-29,Gallatin,27,298
2020-11-29,Greene,71,958
2020-11-29,Grundy,430,3822
2020-11-29,Hamilton,46,483
2020-11-29,Hancock,133,932
2020-11-29,Hardin,14,156
2020-11-29,Henderson,22,417
2020-11-29,Henry,402,3948
2020-11-29,Illinois,102207,1287547
2020-11-29,Iroquois,222,2707
2020-11-29,Jackson,470,4893
2020-11-29,Jasper,99,650
2020-11-29,Jefferson,196,2270
2020-11-29,Jersey,170,1454
